gene,discoveredPoolFitness,allThrees,allOnes
10111111111111111111111111111111111111111111111111,0.9678999999999959,1,0.9
10111111111111111111111111111111111111111111011111,0.966299999999996,1,0.95
10111111111111111011111111111111111111111131111111,0.9647999999999956,1,0.9
10111111111111111111111111111111131111111111111111,0.9650999999999957,1,-0.5
10111111111111111111111111111111111111111131111111,0.9630999999999953,1,0.95
10111111111111111111111111111111131111111011111111,0.9665999999999956,1,0.5
10111111111111111111111111111111111111111111110111,0.966699999999996,0.85,0.95
10111111111111311111111111111112111111111011111111,0.9652999999999958,0.9,-0.5
33333333333333333333333333333333333333333333303333,0.9704999999999977,0.95,0.5
33333333333333333333121111111110111111111111111111,0.9775999999999981,-0.6,-0.9
10110031100132323333111111111111111111333333333331,0.9873999999999982,0.95,-0.85

10112031100122333333111111111111111111333131112332,0.9874999999999979,0.9,-0.9

10110031100132333333121111111111111111333333333331,0.986999999999998,0.95,-0.5

30112031100102333333121111111111111111333333333331,0.9899999999999984,0.9,-0.95

00112031100132333333111111111111111111333130103332,0.9927999999999989,0.9,-0.95

30112031110132303333111111111111111111333333313331,0.9920999999999988,0.95,-0.85

00112031100132333333111111111111110111331131112332,0.9913999999999986,-0.5,-0.95

30112031100102333333121111111111111111333131312332,0.9920999999999985,-0.95,-0.9

10132031110132323333111111111111111111333131112332,0.9877999999999981,0.85,-0.9

00112031100132333333111111111111111111333131112332,0.9912999999999986,-0.55,-0.95

11111111111120111111111333333333333330333331333331,0.9865999999999979,-0.95,-0.95

11111111111111111111111333333333333303330331333331,0.9836999999999981,-0.9,-0.6

11111111111121111111111333333333333333333303103333,0.986299999999998,-0.9,-0.6

11111111111111111111111333323333333333333303103333,0.9889999999999983,-0.95,-0.65

11111111111111111111111333331333333303333331333331,0.9879999999999985,-0.65,-0.6

11111111111111111111111333333033333333033333303330,0.9782999999999968,-0.9,-0.95

11111111111111111111111333333333333333333333303333,0.967799999999998,-0.95,-0.6

11111111111111111111111333333333333333333333303333,0.967799999999998,-0.95,-0.6

11111111111111111111111333333333333333333333303333,0.967799999999998,-0.95,-0.6

11111111111111111111111333333333333333333333303333,0.967799999999998,-0.95,-0.6

11111111111111111111111111111111111111111111111111,0.6233333333333334,0.5,0.5
11111111111111111111111111111311111110111111111111,0.6233333333333334,0.5,0.5
00100001100101333333111111111111111111300331333331,0.6533333333333334,1,-0.85
00100031110322001333111111111111111111331303103333,0.6516666666666668,0.9,-0.85
00100001100102333333111111111111111011330331333331,0.6549999999999998,0.9,-0.55
00100001100102333333111121111111111111333131112332,0.8399999999999995,0.95,-0.85
00100033103122233333113111211111111111300331133331,0.6316666666666667,0.95,0.85
00100033103122033033121111111211111111333103333330,0.858333333333333,0.55,-0.95
11111111111111111111111333331333333303333331333331,0.6533333333333332,-0.65,-0.6
00100031110322031033111111111211111112330331333331,0.6316666666666667,0.55,-0.95
